Week,Day,Type,Session/Exercise,Distance/Load,Target Pace,Completed,Actuals,Comments,Date
9,Sun,Long Run,Long Run,20km,6:10,,,"Endurance build, RPE 6. Negative split last 3 km.",January 04
10,Mon,Easy Run,Easy Run,8km,6:18,,,"Relaxed aerobic run, RPE 4–5, focus on cadence & breathing.",January 05
10,Wed,Tempo Run,Tempo Run,8km,5:40,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",January 07
10,Fri,Quality Run,Quality Run,Intervals,4:55,No,,Alternate intensity: Fartlek 45 min (2 min on/off) | Hills 6×200 m | Intervals 6×1 km @ pace.,January 09
10,Sun,Long Run,Long Run,21km,6:05,,,"Endurance build, RPE 6. Negative split last 3 km.",January 11
11,Mon,Easy Run,Easy Run,8km,6:15,,,"Relaxed aerobic run, RPE 4–5, focus on cadence & breathing.",January 12
11,Wed,Tempo Run,Tempo Run,8km,5:40,No,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",January 14
11,Fri,Quality Run,Quality Run,Intervals,4:55,,,Alternate intensity: Fartlek 45 min (2 min on/off) | Hills 6×200 m | Intervals 6×1 km @ pace.,January 16
11,Sun,Long Run,Long Run,14km,6:00,,,"Endurance build, RPE 6. Negative split last 3 km.",January 18
12,Mon,Easy Run,Easy Run,9km,6:15,,,"Relaxed aerobic run, RPE 4–5, focus on cadence & breathing.",January 19
12,Wed,Tempo Run,Tempo Run,9km,5:38,,,"Steady tempo holding threshold pace, RPE 7. Include WU/CD.",January 21
12,Fri,Quality Run,Quality Run,Fartlek,4:55,,,Alternate intensity: Fartlek 45 min (2 min on/off) | Hills 6×200 m | Intervals 6×1 km @ pace.,January 23
12,Sun,Long Run,Long Run,21km,5:58,,,"Endurance build, RPE 6. Negative split last 3 km.",January 25
